"Start_time","End_time","Rain_in","Int_in/15min","Int_in/hr","Flag"
2011-03-21 09:15:00,2011-03-21 09:15:00,0.01,0.01,0.04,"VERY SMALL"
2011-03-21 19:45:00,2011-03-22 07:15:00,0.73,0.09,0.36,"MODERATE"
2011-03-23 04:45:00,2011-03-24 03:45:00,0.45,0.08,0.32,"SMALL"
2011-03-24 14:30:00,2011-03-24 14:30:00,0.01,0.01,0.04,"VERY SMALL"
2011-03-25 01:15:00,2011-03-25 01:30:00,0.13,0.11,0.44,"SMALL"
2011-03-25 18:45:00,2011-03-26 18:45:00,0.46,0.09,0.36,"SMALL"
2011-03-27 14:15:00,2011-03-27 14:15:00,0.01,0.01,0.04,"VERY SMALL"
2011-03-27 22:00:00,2011-03-27 22:15:00,0.06,0.03,0.12,"VERY SMALL"
2011-03-29 00:00:00,2011-03-29 02:00:00,0.02,0.01,0.04,"VERY SMALL"
2011-03-29 08:15:00,2011-03-29 08:15:00,0.02,0.02,0.08,"VERY SMALL"
2011-03-29 23:15:00,2011-03-30 00:00:00,0.09,0.06,0.24,"VERY SMALL"
2011-03-31 21:15:00,2011-04-01 18:45:00,1.42,0.15,0.6,"MODERATE"
2011-04-02 18:30:00,2011-04-02 23:00:00,0.12,0.06,0.24,"SMALL"
2011-04-03 16:45:00,2011-04-03 16:45:00,0.01,0.01,0.04,"VERY SMALL"
2011-04-04 15:45:00,2011-04-04 15:45:00,0.03,0.03,0.12,"VERY SMALL"
2011-04-05 00:45:00,2011-04-05 04:00:00,0.12,0.04,0.16,"SMALL"
2011-04-06 02:30:00,2011-04-06 13:15:00,0.96,0.22,0.88,"MODERATE"
2011-04-06 21:45:00,2011-04-07 11:45:00,1.49,0.44,1.76,"MODERATE"
2011-04-08 05:15:00,2011-04-08 07:30:00,0.19,0.06,0.24,"SMALL"
2011-04-09 06:00:00,2011-04-09 17:30:00,0.16,0.06,0.24,"SMALL"
2011-04-10 15:15:00,2011-04-10 18:45:00,0.11,0.04,0.16,"SMALL"
2011-04-11 14:45:00,2011-04-11 17:00:00,0.04,0.01,0.04,"VERY SMALL"
2011-04-13 19:30:00,2011-04-14 09:15:00,0.11,0.05,0.2,"SMALL"
